Data,Hora,Sensor,Elev,Azim,Dist,X_Rampa,Y_Rampa,Z_Rampa,BPS,BPG,BPD,Modo,Snl_Rdo,Valido,SAGADA,Vx,Vy,Vz,Erro_IF,Retardo
25/07/2023,13:30:00:975,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:985,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:995,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:005,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:015,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:025,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:035,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:045,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:055,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:065,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:075,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:085,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:095,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:105,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:115,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
